timestamp,symbol,close,open,high,low,close_less_than_ma10_5m,ma10_5m_less_than_ma30_5m,ma30_5m_less_than_ma60_5m,change_rate_5m,boll_range_rate_5m,close_ma60_rate_5m,close_ma60_rate_4h,volume_ma20_rate_5m,volume_ma20_rate_4h,rsi_4h,close_ma30_rate_1d
1672551000000,ETHUSDT,1193.96,1194.19,1194.26,1193.82,0,0,1,-0.00019,0.00239,-0.00012,-0.01189,0.36708,0.58914,33.92,-0.03156
1672551300000,ETHUSDT,1193.61,1193.97,1193.98,1193.52,0,0,1,-0.0003,0.00221,-0.00042,-0.01189,0.44646,0.58914,33.92,-0.03156
1672551600000,ETHUSDT,1194.1,1193.62,1194.1,1193.61,0,0,1,0.00041,0.00222,0,-0.01189,0.54893,0.58914,33.92,-0.03156
1672551900000,ETHUSDT,1194.34,1194.09,1194.35,1194.09,0,0,1,0.0002,0.00236,0.0002,-0.01189,0.18762,0.58914,33.92,-0.03156
1672552200000,ETHUSDT,1194.27,1194.35,1194.39,1194.25,0,0,1,-0.00006,0.00251,0.00014,-0.01189,0.43778,0.58914,33.92,-0.03156
1672552500000,ETHUSDT,1194.54,1194.28,1194.67,1194.27,0,0,1,0.00022,0.00267,0.00036,-0.01189,0.91919,0.58914,33.92,-0.03156
1672552800000,ETHUSDT,1195.09,1194.55,1195.1,1194.54,0,0,1,0.00046,0.00294,0.00082,-0.01189,1.84599,0.58914,33.92,-0.03156
1672553100000,ETHUSDT,1195,1195.1,1195.23,1194.81,0,0,1,-0.00008,0.00304,0.00075,-0.01189,1.41027,0.58914,33.92,-0.03156
1672553400000,ETHUSDT,1194.09,1195.01,1195.01,1193.97,1,0,1,-0.00077,0.00292,-0.00001,-0.01189,2.20826,0.58914,33.92,-0.03156
1672553700000,ETHUSDT,1194.89,1194.09,1194.92,1194.09,0,0,1,0.00066,0.0029,0.00074,-0.01189,1.73647,0.58914,33.92,-0.03156
1672554000000,ETHUSDT,1194.32,1194.88,1194.89,1194.21,1,0,1,-0.00048,0.00286,0.00026,-0.01189,1.39982,0.58914,33.92,-0.03156
1672554300000,ETHUSDT,1194.6,1194.32,1194.76,1194.32,0,0,1,0.00023,0.00262,0.0005,-0.01189,0.73857,0.58914,33.92,-0.03156
1672554600000,ETHUSDT,1193.94,1194.59,1194.6,1193.81,1,0,1,-0.00056,0.00232,-0.00006,-0.01189,0.85976,0.58914,33.92,-0.03156
1672554900000,ETHUSDT,1193.95,1193.95,1194.11,1193.9,1,0,1,0,0.00203,-0.00005,-0.01189,0.65875,0.58914,33.92,-0.03156
1672555200000,ETHUSDT,1194.37,1193.96,1194.39,1193.95,1,0,1,0.00035,0.00188,0.0003,-0.01189,0.92717,0.58914,33.92,-0.03156
1672555500000,ETHUSDT,1194.45,1194.36,1194.45,1194.14,0,0,1,0.00006,0.0018,0.00046,-0.01189,0.89866,0.58914,33.92,-0.03156
1672555800000,ETHUSDT,1194.37,1194.45,1194.45,1194.11,0,0,1,-0.00007,0.00167,0.00039,-0.01189,1.30776,0.58914,33.92,-0.03156
1672556100000,ETHUSDT,1194.81,1194.37,1194.82,1194.28,0,0,1,0.00036,0.00156,0.00076,-0.01189,1.53865,0.58914,33.92,-0.03156
